Variant,Size,Ops_Top100,Ops_SetRating,Ops_BestGroup,Memory_MB,Sort_Default_ms,Sort_Heap_ms
ArrayList+HashMap,100,1445816,144634,722275,177,14,2,419,0,105
ArrayList+HashMap,1000,80054,7906,39724,149,65,0,527,0,160
ArrayList+HashMap,10000,6629,723,3282,237,83,2,218,0,913
ArrayList+HashMap,100000,438,42,214,313,67,25,159,11,817
LinkedList+HashMap,100,1306780,131194,654800,416,57,0,172,0,049
LinkedList+HashMap,1000,83133,8325,41388,340,97,0,322,0,128
LinkedList+HashMap,10000,6384,622,3183,140,76,2,022,1,158
LinkedList+HashMap,100000,433,46,244,305,72,28,304,31,127
ArrayList+TreeMap,100,1408236,140941,704380,175,11,0,034,0,065
ArrayList+TreeMap,1000,84054,8434,41829,583,52,0,167,0,151
ArrayList+TreeMap,10000,6258,644,3102,315,10,3,012,1,560
ArrayList+TreeMap,100000,302,31,133,443,18,18,691,9,545
